content,rating
Khi mình đặt hàng có tặng giao lại ko tặng thì lạ quad,2
"Tiki bán hàng “treo đầu dê bán thịt chó”, đưa hình ảnh sản phẩm thùng sữa Yomost có quà tặng kèm theo là bình giữ nhiệt Yomost, hạn khuyến mãi là từ 21/11 - 27/11/2021, tôi đặt hàng vào ngày 26/11 và nhận hàng ngày 27/11. Khi nhận hàng thì không có bình giữ nhiệt. Gọi lên hotline 19006035/ nhánh số 2 thì viên tư vấn Nguyễn Vũ Thuỳ Anh trả lời “không có quà tặng”. Sau khi đưa bằng chứng hỉnh ảnh quảng cáo (hình đính kèm bên dưới) thì nhân viên Nguyễn Vũ Thuỳ Anh trả lời “bộ phận đóng gói có quyền tách quà tặng ra khỏi sản phẩm để bán hoặc phục vụ mục đích khác”. Đề nghị Tiki phản hồi về sự bất nhất ở trên và Từ bao giờ một thương hiệu lớn như Tiki nhân viên có quyền ăn cắp quà tặng khuyến mãi của nhà sản xuất dành cho khách hàng và trả lời một cách trắng trợn như vậy? Từ khi nào nhân viên tư vấn của Tiki  trả lời khách hàng với thái độ hách dịch và coi thường như vậy ? Hay Tiki đang thực sự “treo đầu dê bán thịt chó” trong chính sách kinh doanh của mình ?

P/s: Tôi gửi phản hồi lên trang chăm sóc khách hàng thì không tải thông tin lên được
Mã đơn hàng: TK288028347",1
"Hàng date ngắn, sản xuất tháng 01/2023 date 9 tháng đến đầu tháng 09/2023 thì hnay đã 04/06/2023, còn khoảng chưa đến 2/3 date luôn.
Tiện cái ship ngay trong ngày đỡ phải đi thôi.",3
"Theo mình thấy dùng sưa hộp 1 lit mình thấy ngon hơn, với cảm giác hộp sữa không đầy băng hộp bình thương. Về phần đóng gói giao hàng khá Ônn. Mình đặt 2 thùng luôn",4
"Đóng gói và vận chuyển quá tệ. Mình đặt mua 2 hộp sữa đặt, đóng chung vào thùng với sách. kết quả nhận hàng 2 hộp sữa đều bị bể, sữa chảy đầy ra hộp. Hộp bánh chocopie bị đè dẹp, phải bỏ hộp, lấy bánh thì mấy cái bánh bị nát.",1
"làm ăn lừa đảo. hộp sữa gói bục bể chảy nước vẫn giao tới khách hàng. Trong khi hộp ngoài còn nguyên vẹn. Tôi cần trả hàng. Nhân viên làm việc vô trách nhiệm, hư hỏng hàng hóa còn cố tình giao",1
giao 3 hộp cả 3 hộp bị đổ sữa tùm lum,1
"trời ơi giao hàng gì mà lâu kinh khủng khiếp, hơn nửa tháng trời mua trả tiền trước rồi mà vậy ák,  chắc mua lần đầu cũng như lần cuối luôn,  ngày nào cũng gọi tổng đài khiếu hết cảm rất phiền, trong khi mua *** trê nhất cũng khoảng 1 tuần mà còn bực bội đừng nói chi đợi quá trời lâu. ko biết là lỗi do bên tiki hay bên giao hàng nhưng xl phải xoá ứng dụng tiki thôi ko thể chấp nhận dc",1
"Không hài lòng, ảnh để loại có tích thẻ đổi quà sản phẩm thật thì mẫu cũ, biết mẫu cũ như thế mua nơi khác rẻ hơn lúc mua 366k",3
"Chất lượng sản phẩm ok
Giao hàng nhanh
Vẫn chuyển và giao sau chưa đầy 20h sau khi đặt hàng
Sẽ tiếp tục mua khi sử dụng hết
Giá cả cạnh tranh",4
"*** khách hàng, kêu tặng quà cho đơn hàng cao nhất, cũng ráng mua thử 1 đơn tối đã 5 thùng, lên đơn thì tự ý tách ra nhiều đơn lẻ, xong khóa tài khoản bảo khách hàng trục lợi",1
Bình thường mấy ngày gần đây tôi có mua hàng mỗi ngày. Dùng bằng voucher đổi điểm asa không hiểu sao tiki báo mình vi phạm. Khoá chắc năng tiki now của mình. Thất vọng cạch mặt tiki chỉ muốn rút xu ra được rồi xoá ngay tài khoản. Không bao giờ dùng lại tiki,1
Mình rất trung thành vs tiki từ 2019 tới bay. Mà Tiki dạo này rất tệ. Nghĩ sao date còn có vài tháng mà vẫn giao tới cho khách hàng. Nếu bạn là ng sử dụng thì date còn ngắn thế bạn có muốn sử dụng ko. Thế mà dám giao tới tay khách hàng. Mất uy tin quá,1
"Chắc từ nay không dám mua sắm gì ở Lotte.
Nay đã tháng 8 gần tháng 9, cái khuyến mãi bóng vàng của Tiger cũng sắp hết rồi. Đặt mua 1 thùng thì giao ngay thùng cũ không có khuyến mãi. mà thùng thì là hàng từ tháng 5. vậy chẳng lẽ bán hàng tồn kho mà với giá đắt hơn cả hàng mới.
quá thất vọng với 1 siêu thị tên tuổi lớn như vậy.
Tiki cũng nên rà soát lại việc siêu thị đẩy hàng tồn kho giá nguyên gốc thế này.
Hạn hán lời với Lotte.",2
Xin phép cho mình đánh giá 1 sao cho chất lượng giao hàng của Tiki. Mình đặt từ 06/10 mà hôm nay 9/11 mới nhận được hàng sau khi liên tục gọi lên tổng đài hỏi về tình trạng đơn hàng để hối thúc. Dạo này Tiki giao hàng rất chậm. Mình từng là khách hàng rất trung thành với Tiki. Sau đơn này mình sẽ xoá app Tiki và dừng ủng hộ.,1
"việc tiki tăng giá chóng mặt khiến bệnh tình của tôi ngày 1 trầm trọng. tôi từ 1 người khoẻ mạnh h đây lại bị thoái hoá đốt sống cổ, xuất tinh sớm, trào ngược dạ dày, đầy hơi, khó tiêu, hoa mắt, chóng mặt, ù tai, thoát vị đĩa đệm",1
